PORTFOLIO,COMPANY_CODE,KEY_DATE,AMOUNT,CURRENCY,FISCAL_YEAR,EXPECTATION_CHANGE,CLASSIFICATION,RISK_TYPE,SHOCK,RISK_CLASS,IMPACT,GROWTH_PERCENT
COMP_2_NL,IND03,31.12.1970,20000,INR,1970,22,A,Market Volatility,0.25,Underwriting Risk,5000,14.28571429
COMP_2_NL,IND03,31.12.1970,8000,INR,1970,23,L,Premium&Reserve,0.1,Underwriting Risk,800,14.28571429
COMP_1_L,IND03,31.03.1971,90000,INR,1970,19,L,Mortality,0.15,Underwriting Risk,13500,12.5
COMP_1_L,IND03,31.03.1971,36000,INR,1970,20,L,Morbidity,-0.25,Underwriting Risk,-9000,-12.5
COMP_1_L,IND03,31.03.1971,108000,INR,1970,21,L,Longevity,0.2,Underwriting Risk,21600,12.5
COMP_1_L,IND03,31.03.1971,27000,INR,1970,22,L,Lapse,-0.2,Underwriting Risk,-5400,-12.5
COMP_1_L,IND03,31.03.1971,81000,INR,1970,23,L,Expense,0.1,Underwriting Risk,8100,12.5
COMP_2_L,IND03,31.03.1971,45000,INR,1970,19,L,Mortality,0.15,Underwriting Risk,6750,12.5
COMP_2_L,IND03,31.03.1971,18000,INR,1970,20,L,Morbidity,-0.25,Underwriting Risk,-4500,-12.5
COMP_2_L,IND03,31.03.1971,54000,INR,1970,21,L,Longevity,0.2,Underwriting Risk,10800,12.5
COMP_2_L,IND03,31.03.1971,13500,INR,1970,22,L,Lapse,-0.2,Underwriting Risk,-2700,-12.5
COMP_2_L,IND03,31.03.1971,40500,INR,1970,23,L,Expense,0.1,Underwriting Risk,4050,12.5
COMP_1_NL,IND03,31.03.1971,180000,INR,1970,19,A,Equity,-0.15,Underwriting Risk,-27000,-12.5
COMP_1_NL,IND03,31.03.1971,90000,INR,1970,20,A,Property,-0.1,Underwriting Risk,-9000,-12.5
COMP_1_NL,IND03,31.03.1971,90000,INR,1970,21,A,Stock Prices,0.07,Underwriting Risk,6300,12.5
COMP_1_NL,IND03,31.03.1971,45000,INR,1970,22,A,Market Volatility,0.25,Underwriting Risk,11250,12.5
COMP_1_NL,IND03,31.03.1971,18000,INR,1970,23,L,Premium&Reserve,0.1,Underwriting Risk,1800,12.5
COMP_2_NL,IND03,31.03.1971,90000,INR,1970,19,A,Equity,-0.15,Underwriting Risk,-13500,-12.5
COMP_2_NL,IND03,31.03.1971,45000,INR,1970,20,A,Property,-0.1,Underwriting Risk,-4500,-12.5
COMP_2_NL,IND03,31.03.1971,45000,INR,1970,21,A,Stock Prices,0.07,Underwriting Risk,3150,12.5
COMP_2_NL,IND03,31.03.1971,22500,INR,1970,22,A,Market Volatility,0.25,Underwriting Risk,5625,12.5
COMP_2_NL,IND03,31.03.1971,9000,INR,1970,23,L,Premium&Reserve,0.1,Underwriting Risk,900,12.5
COMP_1_L,IND03,30.06.1971,108000,INR,1971,19,L,Mortality,0.2,Underwriting Risk,21600,60
COMP_1_L,IND03,30.06.1971,43200,INR,1971,20,L,Morbidity,-0.3,Underwriting Risk,-12960,-44
COMP_1_L,IND03,30.06.1971,129600,INR,1971,21,L,Longevity,0.2,Underwriting Risk,25920,20
COMP_1_L,IND03,30.06.1971,32400,INR,1971,22,L,Lapse,-0.2,Underwriting Risk,-6480,-20
COMP_1_L,IND03,30.06.1971,97200,INR,1971,23,L,Expense,0.3,Underwriting Risk,29160,260
COMP_2_L,IND03,30.06.1971,54000,INR,1971,19,L,Mortality,0.2,Underwriting Risk,10800,60
COMP_2_L,IND03,30.06.1971,21600,INR,1971,20,L,Morbidity,-0.3,Underwriting Risk,-6480,-44
COMP_2_L,IND03,30.06.1971,64800,INR,1971,21,L,Longevity,0.3,Underwriting Risk,19440,80
COMP_2_L,IND03,30.06.1971,16200,INR,1971,22,L,Lapse,-0.25,Underwriting Risk,-4050,-50
COMP_2_L,IND03,30.06.1971,48600,INR,1971,23,L,Expense,0.05,Underwriting Risk,2430,-40
COMP_1_NL,IND03,30.06.1971,216000,INR,1971,19,A,Equity,-0.2,Underwriting Risk,-43200,-60
COMP_1_NL,IND03,30.06.1971,108000,INR,1971,20,A,Property,-0.1,Underwriting Risk,-10800,-20
COMP_1_NL,IND03,30.06.1971,108000,INR,1971,21,A,Stock Prices,0.12,Underwriting Risk,12960,105.7142857
COMP_1_NL,IND03,30.06.1971,54000,INR,1971,22,A,Market Volatility,0.2,Underwriting Risk,10800,-4
COMP_1_NL,IND03,30.06.1971,21600,INR,1971,23,L,Premium&Reserve,0.05,Underwriting Risk,1080,-40
COMP_2_NL,IND03,30.06.1971,108000,INR,1971,19,A,Equity,-0.2,Underwriting Risk,-21600,-60
COMP_2_NL,IND03,30.06.1971,54000,INR,1971,20,A,Property,-0.05,Underwriting Risk,-2700,40
COMP_2_NL,IND03,30.06.1971,54000,INR,1971,21,A,Stock Prices,0.02,Underwriting Risk,1080,-65.71428571
COMP_2_NL,IND03,30.06.1971,27000,INR,1971,22,A,Market Volatility,0.2,Underwriting Risk,5400,-4
COMP_2_NL,IND03,30.06.1971,10800,INR,1971,23,L,Premium&Reserve,0.05,Underwriting Risk,540,-40
COMP_1_L,IND03,30.09.1971,126000,INR,1971,19,L,Mortality,0.1,Underwriting Risk,12600,-41.66666667
COMP_1_L,IND03,30.09.1971,50400,INR,1971,20,L,Morbidity,-0.2,Underwriting Risk,-10080,22.22222222
COMP_1_L,IND03,30.09.1971,151200,INR,1971,21,L,Longevity,0.1,Underwriting Risk,15120,-41.66666667
COMP_1_L,IND03,30.09.1971,37800,INR,1971,22,L,Lapse,-0.2,Underwriting Risk,-7560,-16.66666667
COMP_1_L,IND03,30.09.1971,113400,INR,1971,23,L,Expense,0.05,Underwriting Risk,5670,-80.55555556
COMP_2_L,IND03,30.09.1971,63000,INR,1971,19,L,Mortality,0.1,Underwriting Risk,6300,-41.66666667
COMP_2_L,IND03,30.09.1971,25200,INR,1971,20,L,Morbidity,-0.2,Underwriting Risk,-5040,22.22222222
COMP_2_L,IND03,30.09.1971,75600,INR,1971,21,L,Longevity,0.1,Underwriting Risk,7560,-61.11111111
COMP_2_L,IND03,30.09.1971,18900,INR,1971,22,L,Lapse,-0.15,Underwriting Risk,-2835,30
COMP_2_L,IND03,30.09.1971,56700,INR,1971,23,L,Expense,0.15,Underwriting Risk,8505,250
COMP_1_NL,IND03,30.09.1971,252000,INR,1971,19,A,Equity,-0.1,Underwriting Risk,-25200,41.66666667
COMP_1_NL,IND03,30.09.1971,126000,INR,1971,20,A,Property,-0.1,Underwriting Risk,-12600,-16.66666667
COMP_1_NL,IND03,30.09.1971,126000,INR,1971,21,A,Stock Prices,0.02,Underwriting Risk,2520,-80.55555556
COMP_1_NL,IND03,30.09.1971,63000,INR,1971,22,A,Market Volatility,0.3,Underwriting Risk,18900,75
COMP_1_NL,IND03,30.09.1971,25200,INR,1971,23,L,Premium&Reserve,0.15,Underwriting Risk,3780,250
COMP_2_NL,IND03,30.09.1971,126000,INR,1971,19,A,Equity,-0.1,Underwriting Risk,-12600,41.66666667
COMP_2_NL,IND03,30.09.1971,63000,INR,1971,20,A,Property,-0.15,Underwriting Risk,-9450,-250
COMP_2_NL,IND03,30.09.1971,63000,INR,1971,21,A,Stock Prices,0.12,Underwriting Risk,7560,600
COMP_2_NL,IND03,30.09.1971,31500,INR,1971,22,A,Market Volatility,0.3,Underwriting Risk,9450,75
COMP_2_NL,IND03,30.09.1971,12600,INR,1971,23,L,Premium&Reserve,0.15,Underwriting Risk,1890,250
COMP_1_L,IND03,31.12.1971,144000,INR,1971,19,L,Mortality,0.2,Underwriting Risk,28800,128.5714286
COMP_1_L,IND03,31.12.1971,57600,INR,1971,20,L,Morbidity,-0.3,Underwriting Risk,-17280,-71.42857143
COMP_1_L,IND03,31.12.1971,172800,INR,1971,21,L,Longevity,0.2,Underwriting Risk,34560,128.5714286
COMP_1_L,IND03,31.12.1971,43200,INR,1971,22,L,Lapse,-0.2,Underwriting Risk,-8640,-14.28571429
COMP_1_L,IND03,31.12.1971,129600,INR,1971,23,L,Expense,0.3,Underwriting Risk,38880,585.7142857
COMP_2_L,IND03,31.12.1971,72000,INR,1971,19,L,Mortality,0.2,Underwriting Risk,14400,128.5714286
COMP_2_L,IND03,31.12.1971,28800,INR,1971,20,L,Morbidity,-0.3,Underwriting Risk,-8640,-71.42857143
COMP_2_L,IND03,31.12.1971,86400,INR,1971,21,L,Longevity,0.3,Underwriting Risk,25920,242.8571429
COMP_2_L,IND03,31.12.1971,21600,INR,1971,22,L,Lapse,-0.25,Underwriting Risk,-5400,-90.47619048
COMP_2_L,IND03,31.12.1971,64800,INR,1971,23,L,Expense,0.05,Underwriting Risk,3240,-61.9047619
COMP_1_NL,IND03,31.12.1971,288000,INR,1971,19,A,Equity,-0.2,Underwriting Risk,-57600,-128.5714286
COMP_1_NL,IND03,31.12.1971,144000,INR,1971,20,A,Property,-0.1,Underwriting Risk,-14400,-14.28571429
COMP_1_NL,IND03,31.12.1971,144000,INR,1971,21,A,Stock Prices,0.12,Underwriting Risk,17280,585.7142857
COMP_1_NL,IND03,31.12.1971,72000,INR,1971,22,A,Market Volatility,0.2,Underwriting Risk,14400,-23.80952381
COMP_1_NL,IND03,31.12.1971,28800,INR,1971,23,L,Premium&Reserve,0.05,Underwriting Risk,1440,-61.9047619
COMP_2_NL,IND03,31.12.1971,144000,INR,1971,19,A,Equity,-0.2,Underwriting Risk,-28800,-128.5714286
COMP_2_NL,IND03,31.12.1971,72000,INR,1971,20,A,Property,-0.05,Underwriting Risk,-3600,61.9047619
COMP_2_NL,IND03,31.12.1971,72000,INR,1971,21,A,Stock Prices,0.02,Underwriting Risk,1440,-80.95238095
COMP_2_NL,IND03,31.12.1971,36000,INR,1971,22,A,Market Volatility,0.2,Underwriting Risk,7200,-23.80952381
COMP_2_NL,IND03,31.12.1971,14400,INR,1971,23,L,Premium&Reserve,0.05,Underwriting Risk,720,-61.9047619
COMP_1_L,IND03,31.03.1972,162000,INR,1971,19,L,Mortality,0.15,Underwriting Risk,24300,-15.625
COMP_1_L,IND03,31.03.1972,64800,INR,1971,20,L,Morbidity,-0.25,Underwriting Risk,-16200,6.25
COMP_1_L,IND03,31.03.1972,194400,INR,1971,21,L,Longevity,0.3,Underwriting Risk,58320,68.75
COMP_1_L,IND03,31.03.1972,48600,INR,1971,22,L,Lapse,-0.2,Underwriting Risk,-9720,-12.5
COMP_1_L,IND03,31.03.1972,145800,INR,1971,23,L,Expense,0.1,Underwriting Risk,14580,-62.5
COMP_2_L,IND03,31.03.1972,81000,INR,1971,19,L,Mortality,0.15,Underwriting Risk,12150,-15.625
COMP_2_L,IND03,31.03.1972,32400,INR,1971,20,L,Morbidity,-0.25,Underwriting Risk,-8100,6.25
COMP_2_L,IND03,31.03.1972,97200,INR,1971,21,L,Longevity,0.2,Underwriting Risk,19440,-25
COMP_2_L,IND03,31.03.1972,24300,INR,1971,22,L,Lapse,-0.2,Underwriting Risk,-4860,10
COMP_2_L,IND03,31.03.1972,72900,INR,1971,23,L,Expense,0.1,Underwriting Risk,7290,125
COMP_1_NL,IND03,31.03.1972,324000,INR,1971,19,A,Equity,-0.15,Underwriting Risk,-48600,15.625
COMP_1_NL,IND03,31.03.1972,162000,INR,1971,20,A,Property,-0.1,Underwriting Risk,-16200,-12.5
COMP_1_NL,IND03,31.03.1972,162000,INR,1971,21,A,Stock Prices,0.07,Underwriting Risk,11340,-34.375
COMP_1_NL,IND03,31.03.1972,81000,INR,1971,22,A,Market Volatility,0.25,Underwriting Risk,20250,40.625
COMP_1_NL,IND03,31.03.1972,32400,INR,1971,23,L,Premium&Reserve,0.1,Underwriting Risk,3240,125
COMP_2_NL,IND03,31.03.1972,162000,INR,1971,19,A,Equity,-0.15,Underwriting Risk,-24300,15.625
COMP_2_NL,IND03,31.03.1972,81000,INR,1971,20,A,Property,-0.1,Underwriting Risk,-8100,-125
COMP_2_NL,IND03,31.03.1972,81000,INR,1971,21,A,Stock Prices,0.07,Underwriting Risk,5670,293.75
COMP_2_NL,IND03,31.03.1972,40500,INR,1971,22,A,Market Volatility,0.25,Underwriting Risk,10125,40.625
COMP_2_NL,IND03,31.03.1972,16200,INR,1971,23,L,Premium&Reserve,0.1,Underwriting Risk,1620,125
COMP_1_L,IND03,30.06.1972,194400,INR,1972,19,L,Mortality,0.2,Underwriting Risk,38880,60
COMP_1_L,IND03,30.06.1972,77760,INR,1972,20,L,Morbidity,-0.3,Underwriting Risk,-23328,-44
COMP_1_L,IND03,30.06.1972,233280,INR,1972,21,L,Longevity,0.2,Underwriting Risk,46656,-20
COMP_1_L,IND03,30.06.1972,58320,INR,1972,22,L,Lapse,-0.2,Underwriting Risk,-11664,-20
COMP_1_L,IND03,30.06.1972,174960,INR,1972,23,L,Expense,0.3,Underwriting Risk,52488,260
COMP_2_L,IND03,30.06.1972,97200,INR,1972,19,L,Mortality,0.2,Underwriting Risk,19440,60
COMP_2_L,IND03,30.06.1972,38880,INR,1972,20,L,Morbidity,-0.3,Underwriting Risk,-11664,-44
COMP_2_L,IND03,30.06.1972,116640,INR,1972,21,L,Longevity,0.3,Underwriting Risk,34992,80
COMP_2_L,IND03,30.06.1972,29160,INR,1972,22,L,Lapse,-0.25,Underwriting Risk,-7290,-50
COMP_2_L,IND03,30.06.1972,87480,INR,1972,23,L,Expense,0.05,Underwriting Risk,4374,-40
COMP_1_NL,IND03,30.06.1972,388800,INR,1972,19,A,Equity,-0.2,Underwriting Risk,-77760,-60
COMP_1_NL,IND03,30.06.1972,194400,INR,1972,20,A,Property,-0.1,Underwriting Risk,-19440,-20
COMP_1_NL,IND03,30.06.1972,194400,INR,1972,21,A,Stock Prices,0.12,Underwriting Risk,23328,105.7142857
COMP_1_NL,IND03,30.06.1972,97200,INR,1972,22,A,Market Volatility,0.2,Underwriting Risk,19440,-4
COMP_1_NL,IND03,30.06.1972,38880,INR,1972,23,L,Premium&Reserve,0.05,Underwriting Risk,1944,-40
COMP_2_NL,IND03,30.06.1972,194400,INR,1972,19,A,Equity,-0.2,Underwriting Risk,-38880,-60
COMP_2_NL,IND03,30.06.1972,97200,INR,1972,20,A,Property,-0.05,Underwriting Risk,-4860,40
COMP_2_NL,IND03,30.06.1972,97200,INR,1972,21,A,Stock Prices,0.02,Underwriting Risk,1944,-65.71428571
COMP_2_NL,IND03,30.06.1972,48600,INR,1972,22,A,Market Volatility,0.2,Underwriting Risk,9720,-4
COMP_2_NL,IND03,30.06.1972,19440,INR,1972,23,L,Premium&Reserve,0.05,Underwriting Risk,972,-40
COMP_1_L,IND03,30.09.1972,226800,INR,1972,19,L,Mortality,0.1,Underwriting Risk,22680,-41.66666667
COMP_1_L,IND03,30.09.1972,90720,INR,1972,20,L,Morbidity,-0.2,Underwriting Risk,-18144,22.22222222
COMP_1_L,IND03,30.09.1972,272160,INR,1972,21,L,Longevity,0.1,Underwriting Risk,27216,-41.66666667
COMP_1_L,IND03,30.09.1972,68040,INR,1972,22,L,Lapse,-0.2,Underwriting Risk,-13608,-16.66666667
COMP_1_L,IND03,30.09.1972,204120,INR,1972,23,L,Expense,0.05,Underwriting Risk,10206,-80.55555556
COMP_2_L,IND03,30.09.1972,113400,INR,1972,19,L,Mortality,0.1,Underwriting Risk,11340,-41.66666667
COMP_2_L,IND03,30.09.1972,45360,INR,1972,20,L,Morbidity,-0.2,Underwriting Risk,-9072,22.22222222
COMP_2_L,IND03,30.09.1972,136080,INR,1972,21,L,Longevity,0.1,Underwriting Risk,13608,-61.11111111
COMP_2_L,IND03,30.09.1972,34020,INR,1972,22,L,Lapse,-0.15,Underwriting Risk,-5103,30
COMP_2_L,IND03,30.09.1972,102060,INR,1972,23,L,Expense,0.15,Underwriting Risk,15309,250
COMP_1_NL,IND03,30.09.1972,453600,INR,1972,19,A,Equity,-0.1,Underwriting Risk,-45360,41.66666667
COMP_1_NL,IND03,30.09.1972,226800,INR,1972,20,A,Property,-0.1,Underwriting Risk,-22680,-16.66666667
COMP_1_NL,IND03,30.09.1972,226800,INR,1972,21,A,Stock Prices,0.02,Underwriting Risk,4536,-80.55555556
COMP_1_NL,IND03,30.09.1972,113400,INR,1972,22,A,Market Volatility,0.3,Underwriting Risk,34020,75
COMP_1_NL,IND03,30.09.1972,45360,INR,1972,23,L,Premium&Reserve,0.15,Underwriting Risk,6804,250
COMP_2_NL,IND03,30.09.1972,226800,INR,1972,19,A,Equity,-0.1,Underwriting Risk,-22680,41.66666667
COMP_2_NL,IND03,30.09.1972,113400,INR,1972,20,A,Property,-0.15,Underwriting Risk,-17010,-250
COMP_2_NL,IND03,30.09.1972,113400,INR,1972,21,A,Stock Prices,0.12,Underwriting Risk,13608,600
COMP_2_NL,IND03,30.09.1972,56700,INR,1972,22,A,Market Volatility,0.3,Underwriting Risk,17010,75
COMP_2_NL,IND03,30.09.1972,22680,INR,1972,23,L,Premium&Reserve,0.15,Underwriting Risk,3402,250
COMP_1_L,IND03,31.12.1972,259200,INR,1972,19,L,Mortality,0.15,Underwriting Risk,38880,71.42857143
COMP_1_L,IND03,31.12.1972,103680,INR,1972,20,L,Morbidity,-0.25,Underwriting Risk,-25920,-42.85714286
COMP_1_L,IND03,31.12.1972,311040,INR,1972,21,L,Longevity,0.3,Underwriting Risk,93312,242.8571429
COMP_1_L,IND03,31.12.1972,77760,INR,1972,22,L,Lapse,-0.2,Underwriting Risk,-15552,-14.28571429
COMP_1_L,IND03,31.12.1972,233280,INR,1972,23,L,Expense,0.1,Underwriting Risk,23328,128.5714286
COMP_2_L,IND03,31.12.1972,129600,INR,1972,19,L,Mortality,0.15,Underwriting Risk,19440,71.42857143
COMP_2_L,IND03,31.12.1972,51840,INR,1972,20,L,Morbidity,-0.25,Underwriting Risk,-12960,-42.85714286
COMP_2_L,IND03,31.12.1972,155520,INR,1972,21,L,Longevity,0.2,Underwriting Risk,31104,128.5714286
COMP_2_L,IND03,31.12.1972,38880,INR,1972,22,L,Lapse,-0.2,Underwriting Risk,-7776,-52.38095238
COMP_2_L,IND03,31.12.1972,116640,INR,1972,23,L,Expense,0.1,Underwriting Risk,11664,-23.80952381
COMP_1_NL,IND03,31.12.1972,518400,INR,1972,19,A,Equity,-0.15,Underwriting Risk,-77760,-71.42857143
COMP_1_NL,IND03,31.12.1972,259200,INR,1972,20,A,Property,-0.1,Underwriting Risk,-25920,-14.28571429
